Resource title,Resource Description,Resource URL,Internal/External,Category,Sub Category
Ontario Caregiving Helpline,"Browse this one-stop resource for information and support, including a 24/7 helpline. Call 1-833-416-2273 or connect to [live chat](https://ontariocaregiver.ca) online.",https://ontariocaregiver.ca/for-caregivers/,External,Caregiving,Support for caregivers
Home and community care,Learn how to get help for your family members or patients who need support living at home.,https://www.ontario.ca/page/home-community-care,Internal,Caregiving,Support for caregivers
Respite care,"Get help to take a break from caregiving. In your absence, a personal care worker or health care professional 
can provide services through OHIP.",https://www.ontario.ca/page/respite-care,Internal,Caregiving,Support for caregivers
Disability Tax Credit,Get a tax credit if you are supporting family members with severe or prolonged impairments.,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html,External,Caregiving,Tax credits
Medical Expense Tax Credit,"Get a tax credit if you are supporting family members and paid for medical supplies, dental care, or travel expenses.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/lines-33099-33199-eligible-medical-expenses-you-claim-on-your-tax-return.html,External,Caregiving,Tax credits
Canada Caregiver Credit,"Get a non-refundable tax credit if you support a spouse or common-law partner, or a dependent with a physical 
or mental impairment.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/canada-caregiver-amount.html,External,Caregiving,Tax credits
Ontario Seniors Care at Home Tax Credit,"Get a tax credit if you help low-to moderate-income seniors with eligible medical expenses, such as 
hearing aids, hospital beds and attendant care.",https://www.ontario.ca/page/ontario-seniors-care-home-tax-credit,Internal,Caregiving,Tax credits
Caregiving benefits,"If you must be away from your job to provide care or support to a seriously ill or injured family member with a significant risk of death, you might be entitled to this benefit. 

Family leaves

Get unpaid, job-protected leave so you can provide care or support to eligible family members or others.
  - [Family caregiver leave](https://www.ontario.ca/document/your-guide-employment-standards-act-0/family-caregiver-leave)
  - [Family medical leave](https://www.ontario.ca/document/your-guide-employment-standards-act-0/family-medical-leave)

Other taxes and benefits        
       
Find tax credits, incentives and benefits that will help you with caring for others:                                        
  - [Canadian taxes and benefits](https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities.html)
  - [Ontario taxes and benefits](https://www.ontario.ca/page/taxes-and-benefits)                                                                                                                                                                                       ",https://www.canada.ca/en/services/benefits/ei/caregiving.html,External,Caregiving,Employment benefits
What to do when someone dies,"Find answers to common questions about what to do, and what support is available, when a loved one dies in Ontario. ",https://www.ontario.ca/page/what-do-when-someone-dies,Internal,Caregiving,End of life decisions
Funerals and arrangements,"Learn about planning a funeral, burial, cremation or scattering, and what to do if you discover a burial site. ",https://www.ontario.ca/page/consumer-protection-when-planning-funeral-burial-cremation-or-scattering,Internal,Caregiving,End of life decisions
